run,scenario,channel,variant,first,detect,early,false,lead
24,abrupt,severity,internal_only,24.0,True,True,False,0.0
24,abrupt,severity,prism,24.0,True,True,False,0.0
25,abrupt,severity,severity_only,24.0,True,True,False,0.0
25,abrupt,severity,external_only,24.0,True,True,False,0.0
25,abrupt,severity,internal_only,24.0,True,True,False,0.0
25,abrupt,severity,prism,24.0,True,True,False,0.0
26,abrupt,severity,severity_only,24.0,True,True,False,0.0
26,abrupt,severity,external_only,24.0,True,True,False,0.0
26,abrupt,severity,internal_only,24.0,True,True,False,0.0
26,abrupt,severity,prism,24.0,True,True,False,0.0
27,abrupt,severity,severity_only,24.0,True,True,False,0.0
27,abrupt,severity,external_only,24.0,True,True,False,0.0
27,abrupt,severity,internal_only,24.0,True,True,False,0.0
27,abrupt,severity,prism,24.0,True,True,False,0.0
28,abrupt,severity,severity_only,6.0,False,False,True,
28,abrupt,severity,external_only,24.0,True,True,False,0.0
28,abrupt,severity,internal_only,6.0,False,False,True,
28,abrupt,severity,prism,24.0,True,True,False,0.0
29,abrupt,severity,severity_only,24.0,True,True,False,0.0
29,abrupt,severity,external_only,24.0,True,True,False,0.0
29,abrupt,severity,internal_only,24.0,True,True,False,0.0
29,abrupt,severity,prism,24.0,True,True,False,0.0
30,abrupt,severity,severity_only,24.0,True,True,False,0.0
30,abrupt,severity,external_only,24.0,True,True,False,0.0
30,abrupt,severity,internal_only,24.0,True,True,False,0.0
30,abrupt,severity,prism,24.0,True,True,False,0.0
31,abrupt,severity,severity_only,24.0,True,True,False,0.0
31,abrupt,severity,external_only,24.0,True,True,False,0.0
31,abrupt,severity,internal_only,24.0,True,True,False,0.0
31,abrupt,severity,prism,24.0,True,True,False,0.0
32,abrupt,severity,severity_only,24.0,True,True,False,0.0
32,abrupt,severity,external_only,24.0,True,True,False,0.0
32,abrupt,severity,internal_only,24.0,True,True,False,0.0
32,abrupt,severity,prism,24.0,True,True,False,0.0
33,abrupt,severity,severity_only,24.0,True,True,False,0.0
33,abrupt,severity,external_only,24.0,True,True,False,0.0
33,abrupt,severity,internal_only,,False,False,False,
33,abrupt,severity,prism,24.0,True,True,False,0.0
34,abrupt,severity,severity_only,22.0,True,True,False,2.0
34,abrupt,severity,external_only,22.0,True,True,False,2.0
34,abrupt,severity,internal_only,22.0,True,True,False,2.0
34,abrupt,severity,prism,22.0,True,True,False,2.0
35,abrupt,severity,severity_only,24.0,True,True,False,0.0
35,abrupt,severity,external_only,24.0,True,True,False,0.0
35,abrupt,severity,internal_only,24.0,True,True,False,0.0
35,abrupt,severity,prism,24.0,True,True,False,0.0
36,abrupt,severity,severity_only,24.0,True,True,False,0.0
36,abrupt,severity,external_only,24.0,True,True,False,0.0
36,abrupt,severity,internal_only,,False,False,False,
36,abrupt,severity,prism,,False,False,False,
37,abrupt,severity,severity_only,24.0,True,True,False,0.0
37,abrupt,severity,external_only,24.0,True,True,False,0.0
37,abrupt,severity,internal_only,24.0,True,True,False,0.0
37,abrupt,severity,prism,24.0,True,True,False,0.0
38,abrupt,severity,severity_only,24.0,True,True,False,0.0
38,abrupt,severity,external_only,24.0,True,True,False,0.0
38,abrupt,severity,internal_only,24.0,True,True,False,0.0
38,abrupt,severity,prism,24.0,True,True,False,0.0
39,abrupt,severity,severity_only,24.0,True,True,False,0.0
39,abrupt,severity,external_only,10.0,False,False,True,
39,abrupt,severity,internal_only,24.0,True,True,False,0.0
39,abrupt,severity,prism,10.0,False,False,True,
40,abrupt,severity,severity_only,,False,False,False,
40,abrupt,severity,external_only,24.0,True,True,False,0.0
40,abrupt,severity,internal_only,24.0,True,True,False,0.0
40,abrupt,severity,prism,24.0,True,True,False,0.0
41,abrupt,severity,severity_only,24.0,True,True,False,0.0
41,abrupt,severity,external_only,24.0,True,True,False,0.0
41,abrupt,severity,internal_only,24.0,True,True,False,0.0
41,abrupt,severity,prism,24.0,True,True,False,0.0
42,abrupt,severity,severity_only,24.0,True,True,False,0.0
42,abrupt,severity,external_only,24.0,True,True,False,0.0
42,abrupt,severity,internal_only,24.0,True,True,False,0.0
42,abrupt,severity,prism,24.0,True,True,False,0.0
43,abrupt,severity,severity_only,24.0,True,True,False,0.0
43,abrupt,severity,external_only,24.0,True,True,False,0.0
43,abrupt,severity,internal_only,24.0,True,True,False,0.0
43,abrupt,severity,prism,24.0,True,True,False,0.0
44,abrupt,severity,severity_only,24.0,True,True,False,0.0
44,abrupt,severity,external_only,24.0,True,True,False,0.0
44,abrupt,severity,internal_only,24.0,True,True,False,0.0
44,abrupt,severity,prism,24.0,True,True,False,0.0
45,abrupt,severity,severity_only,24.0,True,True,False,0.0
45,abrupt,severity,external_only,24.0,True,True,False,0.0
